अर्थले कसरी दिन सक्ला सीसीटीभी फुटेज ?	काठमाडौं । निवर्तमान अर्थमन्त्री जनार्दन शर्माले बजेट निर्माण प्रक्रियामा अनधिकृत व्यक्तिको प्रवेश गराई करको दर हेरफेर गरेको विषयमा छानबिन गर्न गठित संसदीय विशेष समितिले अर्थ मन्त्रालयसँग सीसीटीभी ...	rajdhanidaily.com	४ घण्टा अघि	https://l.hamropatro.com/r/https://rajdhanidaily.com/id/65943/	popular	2
हतियार खरिद विवादमा प्रहरी भन्छ : जतिसुकै छानबिन गरे हुन्छ, तर खरिद नरोकियोस्	भीआईपीको सुरक्षामा १२ सय पेस्तोल, दंगा नियन्त्रणमा साढे ४५ करोड रुपैयाँ माग नेपाल प्रहरीको हतियार खरिद प्रक्रिया विवादमा तानिएको छ। प्रहरीको मानव स्रोत एवं प्रशासन विभागले (चलानी नं ३१५) २०७८ फागु...	nepalkhabar.com	९ घण्टा अघि	https://l.hamropatro.com/r/https://nepalkhabar.com/society/136887-2022-7-12-22-33-17	popular	0
उपेन्द्रमाथि बाबुरामको आरोपै आरोप	काठमाडौं । सत्तारूढ जनता समाजवादी पार्टी नेपाल (जसपा) संघीय परिषद्का अध्यक्ष डा. बाबुराम भट्टराईले केन्द्रीय समितिका अध्यक्ष उपेन्द्र यादवले एकलौटी र स्वेच्छाचारी प्रवृत्ति देखाएको आरोप लगाएका छन् ...	rajdhanidaily.com	३ घण्टा अघि	https://l.hamropatro.com/r/https://rajdhanidaily.com/id/65948/	popular	0
श्रीलंकाका राष्ट्रपति गोटाबाय राजापाक्षेले छाडे देश	श्रीलंकाका राष्ट्रपतिले देश छाडेका छन् । श्रीलंकाको आर्थिक संकटलाई लिएर व्यापक प्रदर्शन भइरहेका बेला राष्ट्रपति गोटाबाया राजापाक्षे बुधबार बिहान सेनाको एउटा विमानमा चढेर देश छाडेका छन् ।  ७३ वर्षी...	ratopati.com	२ घण्टा अघि	https://l.hamropatro.com/r/https://ratopati.com/story/251241/2022/7/13/srilanka	popular	0
भारतको राष्ट्रपतीय निर्वाचनमा शिव सेनाले मुर्मूलाई सघाउने	भारतमा हुन लागेको राष्ट्रपतीय निर्वाचनमा शिव सेनाले राष्ट्रपतिकी उम्मेदवार द्रौपदी मुर्मूलाई सघाउने भएको छ । प्रभावशाली राजनीतिज्ञ उद्धव ठाकरेले नेतृत्व गरेको पार्टीले भारतीय जनता पार्टी नेतृत्वको ...	ratopati.com	११ घण्टा अघि	https://l.hamropatro.com/r/https://ratopati.com/story/251218/2022/7/12/draupati-	popular	0
एमालेसँग जोेडिएको भन्दै विवादमा गभर्नर अधिकारी	काठमाडौँ – एमाले निकट रहेको दाबी गरिँदै आएका गभर्नर महाप्रसाद अधिकारी औपचारिक रुपमै पार्टीसँग आबद्ध रहेको भन्दै विवादमा तानिएका छन्। कुनै पनि सार्वजनिक पदमा रहँदा दलमा आबद्ध हुन र सक्रिय राजनीतिमा...	deshsanchar.com	१० घण्टा अघि	https://l.hamropatro.com/r/https://deshsanchar.com/2022/07/12/678411/	popular	0
राजस्व सचिवको विदेश सयर	आर्थिक वर्षको अन्तिम समयमा लक्षित राजस्व फेला पार्न दिनरात खटिनुपर्नेमा राजस्व सचिव कृष्णहरि पुस्कर एक साता लामो विदेश सयर गरेर फर्केका छन्। सरकारले चालु आर्थिक वर्षमा राखेको राजस्व असुलीको लक्ष्य ...	ratopati.com	३ घण्टा अघि	https://l.hamropatro.com/r/https://ratopati.com/story/251226/2022/7/13/krishna-hari-pushkar-	popular	0
सैन्य विमान चढेर श्रीलंकाका राष्ट्रपति राजापाक्षेले देश छोडे	श्रीलंकाका राष्ट्रपति गोटाबाया राजापाक्षेले देश छोडेका छन्।  कार्यालय र निवास समेत सर्वसाधारणले कब्जामा लिएपछि श्रीलंकामै लुकेर बसिरहेका राष्ट्रपति राजापाक्षे गएराति सैन्य विमानमा मुलुक छोडेर भागे...	setopati.com	२ घण्टा अघि	https://l.hamropatro.com/r/https://www.setopati.com/politics/276681	popular	0
एमालेको अर्थ विभागका एम अधिकारी को हुन् ?	२८ असार, काठमाडौं । मंगलबार नेकपा एमालेले जारी गरेको अन्तरपार्टी निर्देशन (अपनि) मा अर्थ तथा योजना विभाग सदस्यमा ‘एम. अधिकारी, खोटाङ’ को नाम देखेपछि नेपाल राष्ट्र बैंकभित्र खैलाबैला भयो । गभर्नर म...	onlinekhabar.com	११ घण्टा अघि	https://l.hamropatro.com/r/https://www.onlinekhabar.com/2022/07/1156755	popular	1
सडकदेखि सदनसम्मै मास्कविहीन, विज्ञ भन्छन्– अति गरे खती हुन्छ !	काठमाडौं । मास्कविहीन सदन । संसद भवनमा बिना मास्क प्रवेश अनुमति दिइँदैन, तर संसद बैठक चलिरहँदा अधिकांश सांसदको मुखमा मास्क देखिँदैन ।  कंग्रेस पार्टी कार्यालय सानेपामा सोमबार र मंगलबार दिनभर केन्द...	baahrakhari.com	३ घण्टा अघि	https://l.hamropatro.com/r/https://baahrakhari.com/news-details/357131	popular	0
