बिजबजार अनलाइन सपिङ्ग एप’ गुगल प्ले स्टोरमा	काठमाडौँ / नेपालका साना तथा मझौला उद्यमहरूलाई बढवा दिँदै नेपाली ट्रेडलाई डिजिटाइज बनाउने लक्ष्यसहित सञ्चालनमा रहेको बिजबजार इकमर्स प्लेटफर्मको एप गुगल प्ले स्टोरबाट डाउनलोड गर्न सकिने भएको छ । अनल...	https://l.hamropatro.com/r/https://arthadabali.com/2022/03/11/22048	technology	L
'पिर'बारे प्रकाश सपुतकाे स्पष्टीकरण–भिडियोमा माओवादी आन्दोलनलाई परिवर्तनको जस दिइएको छ	गायक प्रकाश सपुतले केही दिनअघि सार्वजनिक आफ्नो गीत पिरमा माओवादी जनयुद्ध र आन्दोलनलाई गलत नअर्थ्याइएको प्रस्टीकरण दिएका छन्। गायक सपुतले फेसबुकमार्फत उक्त भिडियोमा बरु माओवादीका कारण भएको व्यवस्था ...	https://l.hamropatro.com/r/https://nayapatrikadaily.com/feed-detail.php?nid=82483	entertainment	L
एमसीसीका आयोजनालाई मेलम्ची बन्न दिंदैनौंः सञ्चार मन्त्री कार्की	सञ्चार तथा सूचना प्रविधि मन्त्री ज्ञानेन्द्रबहादुर कार्कीले मिलिनियम च्यालेन्ज कर्पोरेशन (एमसीसी) अनुदानबाट सञ्चालन हुने आयोजना निर्धारित मितिमै सम्पन्न हुने प्रतिबद्धता जनाएका छन्।  एमसीसी कम्प्य...	https://l.hamropatro.com/r/https://www.himalkhabar.com/news/128663	popular	L
प्रकाश सपुतको गीतमा माओवादीका पाँच भातृ संगठनको आपत्तिः ‘जनयुद्धको अपमान भयो, अपराध स्वीकार गरी माफी माग्न चेतावनी’	काठमाडौँः नेकपा (माओवादी केन्द्र) निकटका भातृ संगठनहरुले हालै सार्वजनिक भएको गायक प्रकाश सपुतको गीत पीरले जनयुद्धलाई विद्रुपीकरण गर्न खोजेको आरोप लगाएका छन्। गीतले जनयुद्धमा जनमुक्ति सेनाले गरेको य...	https://l.hamropatro.com/r/https://pahilopost.com/content/20220313220909.html	national	L
दिपकराजको प्रश्न : बालिकाले सिकेको नराम्रो बानीको ठेक्का हामीले लिने कि नलिने ?’	काठमाडौं । पल शाह प्रकरणमा अझै पनि धेरै कलाकारहरु मुख खोल्न हिच्किचाइरहेका छन् । तर, अभिनेता तथा निर्माता दिपकराज गिरी भने व्याक टु ब्याक स्टाटस लेखेर आफ्नो भाव व्यक्त गरिरहेका छन् । आज नाबालिग गा...	https://l.hamropatro.com/r/https://www.nepalpress.com/2022/03/04/162221/	entertainment	L
बाइडेनको कायरताले गर्दा अमेरिकासँग डराउन छाडे : डोनाल्ड ट्रम्प	२९ फागुन, काठमाडौं । अमेरिकाका पूर्वराष्ट्रपति डोनाल्ड ट्रम्पले जो बाइडेनको कार्यकालमा अमेरिकासँग कोही पनि डराउन छाडेको बताएका छन् । ट्रम्पले साउथ क्यारोलिनामा शनिबार आयोजित एक र्‍यालीलाई सम्बोधन ...	https://l.hamropatro.com/r/https://www.onlinekhabar.com/2022/03/1093006	popular	L
एएफसीसँग ८ वर्षदेखि आबद्ध हुँदै अग्नि ग्रुप	काठमाडौं । सशस्त्र प्रहरी बल (एपीएफ) फुटबल क्लबले हालै एसियाली फुटबल महासंघ (एएफसी) लाइसेन्स प्रमाणपत्र प्राप्त गर्‍यो । एन्फा अध्यक्ष कर्मा छिरिङ शेर्पाले सशस्त्र प्रहरी बलका महानिरीक्षक शैलेन्द्र...	https://l.hamropatro.com/r/https://baahrakhari.com/news-details/343862	sports	L
पेट्रोलियम पदार्थको मूल्य समायोजन गर्ने फाइल अर्थ मन्त्रालयमै अड्कियो	९ महिनाअघि पेट्रोलियम पदार्थको मूल्य समायोजनसम्बन्धी पठाइएको प्रस्ताव अर्थ मन्त्रालयले अड्काएको छ । उद्योग, वाणिज्य तथा आपूर्ति मन्त्रालयले असार महिनामै पेट्रोलियम पदार्थको मूल्य समायोजन प्रस्तावसम...	https://l.hamropatro.com/r/https://ratopati.com/story/224888/2022/3/7/oil-price-	economics	L
सम्बन्धविच्छेद माग्ने पुरुष बढ्दै	हेटौंडा :  मकवानपुर बकैया–४ का राजमान विकले २०५९ असार ३० गते देवतीकुमारी घिमिरेसँग बिहे गरे। तर, अन्तरजातीय विवाह गरेका कारण घरपरिवार र आफन्तले स्वीकार गरेनन्। हेटौंडामा किराना पसल चलाएर अघि बढ्न ...	https://l.hamropatro.com/r/https://annapurnapost.com/news/198012	popular	L
तालिबानले घरैपिच्छे खानतलासी थालेपछि मानवअधिकारवादी चिन्तित	काठमाडौं– अफगानिस्तानको सत्तामा रहेको तालिबानले मानिसका घरमा पसेर खानतलासी लिने गरेको भन्दै मानवअधिकारवादी संस्थाहरूले चिन्ता व्यक्त गरेका छन् । मानवअधिकारवादी संस्था ह्युमन राइट्स वाचले अफगानिस्ता...	https://l.hamropatro.com/r/https://www.khabarhub.com/2022/15/361848/	international	L
