गोहोरोमाथि बलात्कार, मोबाइल भिडियोबाट कसरी सार्वजनिक भयो घटना ?	भारतको महाराष्ट्रको सह्याद्रि टाइगर रिजर्भमा एक बंगाल मोनिटर लिजर्ड (गोहोरो) माथि बलात्कारको घटना सार्वजनिक भएको छ । यो सिलसिलामा चार व्यक्तिविरुद्ध आशंकाको आधारमा मुद्दा दर्ता गरेर अनुसन्धान अघि ...	ratopati.com	५ घण्टा अघि	https://l.hamropatro.com/r/https://ratopati.com/story/232728/2022/4/15/iguana-rape-in-india	popular
यसकारण वैशाख ३० को चुनाव सर्नसक्ने, यस्तो छ कायकालको संवैधानिक व्यवस्था	काठमाडौं, २ वैशाख । स्थानीय तहको निर्वाचन सर्न सक्ने सम्भावना बढेको छ । चुनाव सरकारले सार्ने सम्भावना नरहेपनि अदालतबाट फैसला आएमा सर्ने अवस्था बन्न सक्छ । सर्वोच्च अदालतमा जनप्रतिनिधिहरुको कार्यका...	reportersnepal.com	२ घण्टा अघि	https://l.hamropatro.com/r/https://www.reportersnepal.com/2022/04/672152	popular
कुरा नमिले गठबन्धन भित्रबाटै कांग्रेससँग पनि प्रतिस्पर्धा हुनसक्छ : प्रचण्ड	२ वैशाख, काठमाडौं। नेकपा माओवादी केन्द्रका अध्यक्ष पुष्पकमल दाहाल (प्रचण्ड)ले स्थानीय तहको चुनावमा सत्ता गठबन्धन बीचको तालमेल सबैतिर गर्ने कोसिस भए पनि सहज नबनेको बताएका छन्। उपलब्ध पूर्व स्थायी स...	onlinekhabar.com	९ घण्टा अघि	https://l.hamropatro.com/r/https://www.onlinekhabar.com/2022/04/1109797	popular
प्रचण्डलाई झस्काउने इञ्चार्जहरूको चुनावी ब्रिफिङ	नेकपा माओवादीका प्रदेश इञ्चार्जहरूले गठबन्धनका दलहरूबीच सैद्धान्तिक सहमति भएपनि चुनावी तालमेलमा अप्ठ्यारो रहेको बताएका छन् ।  नेपाली कांग्रेसले अधिकांश स्थानीय तहमा दाबी नछाडेको र नेकपा एसले पनि ह...	lokaantar.com	४ घण्टा अघि	https://l.hamropatro.com/r/https://lokaantar.com/story/179229/2022/4/15/main-news/maoist	popular
इजरायलले क्षेप्यास्त्र ध्वस्त पार्न प्रहार गर्‍यो घातक आइरन बीम (भिडियो)	अत्याधुनिक हातहतियार निर्माणमा महारथ हासिल गरेको इजरायलले पहिलोपटक लेजर मिसाइल डिफेन्स सिस्टमको सफल परीक्षण गरेको छ ।  त्यस सिस्टमलाई आइरन बीम नाम दिइएको छ । लेजरमा आधारित यस सिस्टमले मोर्टार, रके...	lokaantar.com	११ घण्टा अघि	https://l.hamropatro.com/r/https://lokaantar.com/story/179172/2022/4/15/international/iron-beam	popular
काठमाडौंको मेयरमा उम्मेदवारी घोषणा गरेकी सुनिताले सार्वजनिक गरिन् ८ खम्बे विकास मोडेलसहितको प्रतिबद्धता पत्र	काठमाडौं महानगरपालिकाकी मेयरमा उम्मेदवारी घोषणा गरेकी सुनिता डंगोलले प्रतिबद्धता पत्र सार्वजनिक गरेकी छन् ।  प्रतिबद्धता पत्रमार्फत उनले आठ खम्बे विकास मोडेल सार्वजनिक गरेकी हुन् ।  उनको आठ खम्बे...	lokaantar.com	६ घण्टा अघि	https://l.hamropatro.com/r/https://lokaantar.com/story/179211/2022/4/15/politics/sunita-dangol	popular
को हुन् मेलिना राईले इन्गेजमेन्ट गरेका सन्जीव बराइली ?	काठमाडौं । गायिका मेलिना राईले सन्जीव बराइलीसँग इन्गेजमेन्ट गरेकी छन् । मेलिनाले इन्गेजमेन्ट गरेका सञ्जीव म्युजिक एरेन्जर हुन् । उनका एरेन्जमेन्ट गरेका थुप्रै गीत लोकप्रिय छन् । केही समय अगाडि लोकप...	baahrakhari.com	१ घण्टा अघि	https://l.hamropatro.com/r/https://baahrakhari.com/news-details/347004	popular
अमेरिकाले लगातार उत्तेजित पारेपछि चीनले ताइवान नजिक सैन्य अभ्यास गर्ने	चीनको रक्षा मन्त्रालयले चीन र ताइवानलाई छुट्ट्याउन खोज्ने बाहिरी शक्तिहरूका विरुद्ध निर्णायक सैन्य कारवाही चलाइने चेतावनी दिएको छ । अमेरिकी अधिकारी गोप्य रूपमा ताइवान पुगेको समाचार सार्वजनिक भएपछि...	lokaantar.com	७ घण्टा अघि	https://l.hamropatro.com/r/https://lokaantar.com/story/179198/2022/4/15/international/china-taiwan	popular
युक्रेन : इज्युममा रुसले खसायो शत्रुका दुईवटा विमान	युक्रेनको इज्युममा रुसी सैनिकहरूले म्यानप्याडमार्फत दुईवटा युक्रेनी विमानहरू खसाएका छन् ।  प्रत्यक्षदर्शीहरूका अनुसार, युक्रेनी विमानहरू निकै तलबाट उडिरहेका थिए । उनीहरूले रुसको सैन्य जत्थामा आक्र...	lokaantar.com	६ घण्टा अघि	https://l.hamropatro.com/r/https://lokaantar.com/story/179210/2022/4/15/international/ukraine-invasion	popular
नीला राई मृत्यु प्रकरणमा नयाँ ट्वीस्ट : लेनदेन विवादमा प्रहरीको दबाब दिएको खुलासा	चाबहिलस्थित पशुपति क्याम्पसमा अध्ययनरत नीला राई मृत्यु प्रकरणमा नयाँ ट्वीस्ट आएको छ । उनलाई चैत २३ मा प्रहरीले बोलाएर बयान लिएको खुलेको छ । टेकुस्थित महानगरीय प्रहरी परिसर काठमाडौंमा बोलाएर दिनभर प...	ratopati.com	५ घण्टा अघि	https://l.hamropatro.com/r/https://ratopati.com/story/232721/2022/4/15/crime-	popular
